标题,户型,面积,楼层,建造年份,单价,总价,关键字,地址,详情页地址
（婚装小两房带学位 家具家电全送 单价1.6万）景兰苑,2室2厅,70m²,低层(共11层),2010年建造,16266元/m²,115万,近地铁小户型配套成熟,景兰苑  江岸-百步亭-安居路286号,https://wuhan.anjuke.com/prop/view/A1863375429?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42b2d51f236.07902400&position=940&kwtype=filter&now_time=1571040045
118平三房 地铁旁 国博新城 双向大阳台 南北通透,3室2厅,118m²,低层(共33层),2014年建造,15586元/m²,185万,近地铁配套成熟品质小区,武汉国博新城  汉阳-四新-四新南路,https://wuhan.anjuke.com/prop/view/A1813745019?from=filter&spread=commsearch_p&uniqid=pc5da42b2d51f2a9.31476315&position=941&kwtype=filter&now_time=1571040045
泛海国际香海园 366平奢华大平层 采光视野无敌 对口红领巾,6室3厅,366m²,低层(共32层),2015年建造,36311元/m²,1329万,小区中心近地铁配套成熟,泛海国际居住区香海园  江汉-王家墩CBD-淮海路,https://wuhan.anjuke.com/prop/view/A1838870679?from=filter&spread=commsearch_p&uniqid=pc5da42b2d51f316.58479375&position=942&kwtype=filter&now_time=1571040045
赠送20平！地铁口 卡梅尔小镇 满二无税 南北通透 有钥匙,3室2厅,90m²,低层(共24层),2010年建造,16444元/m²,148万,南北通透环境优美,当代卡梅尔小镇  江夏-藏龙岛-杨桥湖大道10号,https://wuhan.anjuke.com/prop/view/A1839368973?from=filter&spread=commsearch_p&uniqid=pc5da42b2d51f398.47492524&position=943&kwtype=filter&now_time=1571040045
芳草路纽宾凯 南北通透 精装四房 中间楼层 有钥匙 随时看房,4室2厅,129m²,高层(共34层),2015年建造,17829元/m²,230万,近地铁次新小区交通便利,纽宾凯国际社区蜜城  汉阳-四新-芳草路,https://wuhan.anjuke.com/prop/view/A1865543529?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42b2d51f409.37254840&position=944&kwtype=filter&now_time=1571040045
品质小区 人车分流 近地铁 百步亭 万锦江城 精装两房,2室2厅,84m²,低层(共32层),2012年建造,20476元/m²,172万,近地铁厅带阳台繁华地段,万锦江城  江岸-百步亭-兴业路175号,https://wuhan.anjuke.com/prop/view/A1860209751?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42b2d51f471.05923262&position=945&kwtype=filter&now_time=1571040045
天顺园 豪华装修两房 房东降价急卖 欢迎随时看房！！！,2室1厅,70m²,高层(共7层),2006年建造,12748元/m²,90万,南北通透环境优美,天顺园东2区  硚口-古田-长风路,https://wuhan.anjuke.com/prop/view/A1859073681?from=filter&spread=commsearch_p&uniqid=pc5da42b2d51f4f7.38497710&position=946&kwtype=filter&now_time=1571040045
范湖地铁口 全南两房高楼层 采光好 老证无贷,2室2厅,98m²,高层(共32层),2010年建造,23265元/m²,228万,近地铁,葛洲坝国际广场  江汉-常青-马场角小路,https://wuhan.anjuke.com/prop/view/A1777721277?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42b2d51f565.01303028&position=947&kwtype=filter&now_time=1571040045
常阳永清城 朝南户型 老证学籍未使用 诚心出售 VR仅做参考,2室2厅,110m²,高层(共32层),2008年建造,40909元/m²,450万,近地铁近学校房型正,常阳永清城  江岸-永清街-解放大道1340号,https://wuhan.anjuke.com/prop/view/A1842679281?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da42b2d51f5d7.91899758&position=948&kwtype=filter&now_time=1571040045
地铁3号线双墩出口 兴华尚都国际 毛坯三房朝南 有钥匙随时看,3室2厅,100m²,低层(共33层),2018年建造,23000元/m²,230万,全南户型小区中心品质小区,兴华尚都国际  硚口-古田-汉西路36号,https://wuhan.anjuke.com/prop/view/A1846156539?from=filter&spread=commsearch_p&uniqid=pc5da42b2d51f641.10858496&position=949&kwtype=filter&now_time=1571040045
新长江香榭澜溪 单价低 毛坯三房 中间楼层 前后无遮挡,3室2厅,95m²,中层(共17层),2015年建造,6387元/m²,61万,配套成熟繁华地段品质小区,新长江香榭澜溪  汉南-汉南城区-兴城大道,https://wuhan.anjuke.com/prop/view/A1862176377?from=filter&spread=commsearch_p&uniqid=pc5da42b2d51f6b8.13787055&position=950&kwtype=filter&now_time=1571040045
杨家湾地铁口 保利华都 户型方正 精装两房 中高楼层,2室2厅,91m²,中层(共34层),2012年建造,25739元/m²,235万,近地铁近学校繁华地段,保利华都  洪山-卓刀泉-卓刀泉路299号,https://wuhan.anjuke.com/prop/view/A1864124841?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da42b2d51f727.16133546&position=951&kwtype=filter&now_time=1571040045
王，府花园电梯3房出售！对口育才一小，老证，单价低,3室2厅,136m²,低层(共31层),2006年建造,29191元/m²,397万,近地铁近学校安全性高,王府花园  江岸-竹叶山花桥-三眼桥路26号,https://wuhan.anjuke.com/prop/view/A1793436627?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da42b2d51f791.76014263&position=952&kwtype=filter&now_time=1571040045
通透四房  纯毛坯   老证无税   带三个超大阳台,4室2厅,158m²,中层(共44层),2015年建造,23594元/m²,375万,,恒大首府东区  武昌-积玉桥-和平大道690号,https://wuhan.anjuke.com/prop/view/A1866312795?from=filter&spread=commsearch_p&uniqid=pc5da42b2d51f828.50538947&position=953&kwtype=filter&now_time=1571040045
楼层好，视野广，学位房出售，汉南天地 65万 2室2厅1卫,2室2厅,97m²,中层(共33层),2013年建造,6701元/m²,65万,,汉南天地  汉南-汉南城区-纱帽正街,https://wuhan.anjuke.com/prop/view/A1738586181?from=filter&spread=commsearch_p&uniqid=pc5da42b2d51f889.80296894&position=954&kwtype=filter&now_time=1571040045
歌林花园 高楼层大三房 满五唯一 南北通透 双阳台 地铁口,3室2厅,128m²,中层(共18层),2014年建造,11328元/m²,145万,近地铁配套成熟繁华地段,歌林花园  黄陂-盘龙城-巨龙大道159号,https://wuhan.anjuke.com/prop/view/A1860491739?from=filter&spread=commsearch_p&uniqid=pc5da42b2d51f8f4.21336188&position=955&kwtype=filter&now_time=1571040045
学籍未用  看房方便 ZS房源,2室2厅,92m²,高层(共9层),2008年建造,55159元/m²,510万,近地铁,武汉天地御江苑  江岸-永清街-中山大道1505号,https://wuhan.anjuke.com/prop/view/A1861121109?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42b2d51f960.48989577&position=956&kwtype=filter&now_time=1571040045
丽岛2046希缺精装小户型无税中间楼层 值得拥有！！！,1室1厅,40m²,中层(共46层),2015年建造,22500元/m²,90万,近地铁交通便利繁华地段,丽岛2046  武昌-丁字桥-雄楚大道175号,https://wuhan.anjuke.com/prop/view/A1870127751?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42b2d51f9d8.37889290&position=957&kwtype=filter&now_time=1571040045
店庆特推！超低首付 中法生态示范城 新阳花苑电梯三房,3室2厅,95m²,高层(共11层),2011年建造,6842元/m²,65万,南北通透配套成熟品质小区,新阳花苑  蔡甸-恒大绿洲-袁家台96号,https://wuhan.anjuke.com/prop/view/A1869175173?from=filter&spread=commsearch_p&uniqid=pc5da42b2d51fa47.29352034&position=958&kwtype=filter&now_time=1571040045
地铁口刚需房国际百纳 精装修两房低总价,2室2厅,61m²,中层(共33层),2015年建造,20492元/m²,125万,近地铁,国际百纳  江岸-后湖-中一路36号,https://wuhan.anjuke.com/prop/view/A1845589575?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42b2d51fab0.85868643&position=959&kwtype=filter&now_time=1571040045
保利时代 关山大道主流楼 对口光谷一小 眞实低于市场价,2室2厅,71m²,中层(共33层),2014年建造,20761元/m²,149万,采光好繁华地段品质小区,保利时代(南区)  洪山-关山-新竹路,https://wuhan.anjuke.com/prop/view/A1825914423?from=filter&spread=commsearch_p&uniqid=pc5da42b2d51fb21.25708136&position=960&kwtype=filter&now_time=1571040045
泛海国际香海园 366平奢华大平层 采光视野无敌 对口红领巾,6室3厅,366m²,低层(共32层),2015年建造,36311元/m²,1329万,小区中心近地铁配套成熟,泛海国际居住区香海园  江汉-王家墩CBD-淮海路,https://wuhan.anjuke.com/prop/view/A1838870679?from=filter&spread=commsearch_p&uniqid=pc5da42b6a632bc9.97829356&position=961&kwtype=filter&now_time=1571040106
急售V光谷东 未来中心城 国采光立方 毛坯三房 随时看 诚心,3室2厅,122m²,高层(共15层),2017年建造,19131元/m²,235万,南北通透环境优美,国采光立方  洪山-光谷东-九峰一路,https://wuhan.anjuke.com/prop/view/A1869964527?from=filter&spread=commsearch_p&uniqid=pc5da42b6a632df8.48373357&position=962&kwtype=filter&now_time=1571040106
中央花园城  精装两房  中高楼层 交通生活方便 近地铁,2室2厅,82m²,高层(共18层),2012年建造,8218元/m²,68万,,阳光新港中央花园城  新洲-阳逻开发区-余泊南路,https://wuhan.anjuke.com/prop/view/A1843886415?from=filter&spread=commsearch_p&uniqid=pc5da42b6a632e84.02297898&position=963&kwtype=filter&now_time=1571040106
（真实在售）鄂旅投书院世家 一线湖景 毛坯两房 中高楼层！,2室2厅,66m²,高层(共34层),2017年建造,12121元/m²,80万,近地铁配套成熟品质小区,鄂旅投书院世家  洪山-白沙洲-绅宝大道,https://wuhan.anjuke.com/prop/view/A1845378705?from=filter&spread=commsearch_p&uniqid=pc5da42b6a632fa9.40434340&position=964&kwtype=filter&now_time=1571040106
(真实在售）北辰优加，朝南小两房，百变毛坯中间楼层，业主急卖,2室2厅,81m²,中层(共26层),2016年建造,16049元/m²,130万,,北辰当代优+国际青年互动特区  洪山-光谷东-高新二路,https://wuhan.anjuke.com/prop/view/A1809278175?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633000.81350415&position=965&kwtype=filter&now_time=1571040106
丁字桥60号 精装两室一厅 对口梅苑中学 南北通透采光好,2室1厅,62m²,高层(共8层),2000年建造,20161元/m²,125万,采光好近地铁繁华地段,丁字桥路60号小区  武昌-丁字桥-丁字桥路60号,https://wuhan.anjuke.com/prop/view/A1859621349?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633062.76255208&position=966&kwtype=filter&now_time=1571040106
三条地铁 4.5米loft天然气 来电预约看房直减壹万,1室2厅,45m²,中层(共20层),2017年建造,11778元/m²,53万,新房房源复式房近地铁,"白金壳子  东西湖-将军路-宏图路,近银潭路",https://wuhan.anjuke.com/prop/view/A1788994983?from=filter&spread=commsearch_p&uniqid=pc5da42b6a6330b6.29952959&position=967&kwtype=filter&now_time=1571040106
地铁口 湖景 小三房 3环边 首付30万起 找我享团购价折扣,3室2厅,109m²,中层(共36层),2017年建造,10899元/m²,118.8万,新房房源配套成熟交通便利,海伦国际  青山-青山周边-武东中路,https://wuhan.anjuke.com/prop/view/A1864683795?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633110.27020984&position=968&kwtype=filter&now_time=1571040106
进门入户 保利心语一期 精装南北通透大三房 证5税少随时看,3室2厅,120m²,中层(共18层),2008年建造,18905元/m²,228万,近学校近地铁配套成熟,保利心语一期  洪山-新南湖-野芷湖西路,https://wuhan.anjuke.com/prop/view/A1858614231?from=filter-salesxq&spread=commsearch_p&uniqid=pc5da42b6a633176.39694909&position=969&kwtype=filter&now_time=1571040106
店东推荐！恒大 精装 朝南两房 带三阳台，证满2年 看房方便,2室2厅,89m²,低层(共40层),2013年建造,27865元/m²,248万,环境优美繁华地段品质小区,恒大首府东区  武昌-积玉桥-和平大道690号,https://wuhan.anjuke.com/prop/view/A1766617995?from=filter&spread=commsearch_p&uniqid=pc5da42b6a6331d8.74806748&position=970&kwtype=filter&now_time=1571040106
宜家旁 蓝光林肯公园 正规三房 高层 房东诚心出售 看房方便,3室2厅,105m²,高层(共46层),2016年建造,12508元/m²,132万,视野好环境优美次新小区,蓝光林肯公园  硚口-古田-长谊路,https://wuhan.anjuke.com/prop/view/A1860530295?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633222.68527014&position=971&kwtype=filter&now_time=1571040106
融创澜岸123平南北通透户型对口育才通风效果好看房有钥匙,3室2厅,123m²,高层(共48层),2000年建造,19512元/m²,240万,,融创澜岸  江岸-后湖-塔子湖东路,https://wuhan.anjuke.com/prop/view/A1856129691?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633284.33568316&position=972&kwtype=filter&now_time=1571040106
武汉国博新城 毛坯全明三房 紧邻地铁口 对口国博二小户型正,3室2厅,94m²,低层(共38层),2014年建造,16479元/m²,155万,厅带阳台近地铁品质小区,武汉国博新城  汉阳-四新-四新南路,https://wuhan.anjuke.com/prop/view/A1858614267?from=filter&spread=commsearch_p&uniqid=pc5da42b6a6332d4.21908511&position=973&kwtype=filter&now_time=1571040106
急急急 低于市场价 手慢无 户型方正 保养好 随时拎包入住,2室2厅,85m²,低层(共27层),2015年建造,13790元/m²,118万,,阳光100大湖第  江夏-藏龙岛-杨桥湖大道2号,https://wuhan.anjuke.com/prop/view/A1813272969?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633339.41988796&position=974&kwtype=filter&now_time=1571040106
中介0.5 武大旁 东湖楚天府新上三房 中高层 随时看房,3室2厅,116m²,高层(共26层),2015年建造,33548元/m²,390万,环境优美繁华地段品质小区,东湖楚天府(公寓)  洪山-广埠屯-八一路340号,https://wuhan.anjuke.com/prop/view/A1850324187?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633388.13370775&position=975&kwtype=filter&now_time=1571040106
（广电兰亭时代） 小清新样板间式精装！拎包直住！,2室2厅,77m²,高层(共33层),2015年建造,18052元/m²,139万,南北通透环境优美,广电兰亭时代  汉阳-四新-四新南路,https://wuhan.anjuke.com/prop/view/A1857428679?from=filter&spread=commsearch_p&uniqid=pc5da42b6a6333e1.53923180&position=976&kwtype=filter&now_time=1571040106
东西湖 95平精装全南三房 一线临湖 环境优美 教育配套好,3室2厅,95m²,中层(共32层),2018年建造,13895元/m²,132万,新房房源配套成熟交通便利,"金地悦海湾  东西湖-吴家山-三店中路,近三店东路",https://wuhan.anjuke.com/prop/view/A1843957965?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633434.86482336&position=977&kwtype=filter&now_time=1571040106
华科大地铁口巴黎豪庭经典三房 视野好 无税采光佳 诚售,3室2厅,132m²,高层(共25层),2011年建造,21575元/m²,285万,近学校南北通透素质住户,南益巴黎豪庭  洪山-珞瑜东路-珞喻东路2号,https://wuhan.anjuke.com/prop/view/A1775835489?from=filter-salesxq&spread=commsearch_p&uniqid=pc5da42b6a633490.27101390&position=978&kwtype=filter&now_time=1571040106
一房通专盘 精装三房 房子钥匙我都有 就看您什么时候走,3室2厅,94m²,低层(共32层),2017年建造,25532元/m²,240万,近地铁,保利城  洪山-铁机路-铁机西路,https://wuhan.anjuke.com/prop/view/A1869370005?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42b6a6334f8.73230585&position=979&kwtype=filter&now_time=1571040106
古田，华润翡翠城，房东换房急售把头三房，两证齐全中低楼层,3室2厅,116m²,低层(共47层),2016年建造,14815元/m²,172万,,华润翡翠城  硚口-古田-城华路,https://wuhan.anjuke.com/prop/view/A1854784227?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633549.74981477&position=980&kwtype=filter&now_time=1571040106
首义小区 三楼 两室一厅 南北通透 居家装修 保存完好,2室1厅,73m²,低层(共9层),1999年建造,20109元/m²,148万,近地铁近学校南北通透,首义小区(张之洞路)  武昌-首义路-紫阳路169号,https://wuhan.anjuke.com/prop/view/A1857392895?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da42b6a6335a0.16987530&position=981&kwtype=filter&now_time=1571040106
幸福来得太突然（降价10万）精装通透3房2卫 百步亭幸福时代,3室2厅,110m²,高层(共32层),2013年建造,21311元/m²,235万,近地铁配套成熟环境优美,幸福时代  江岸-百步亭-新益街135号,https://wuhan.anjuke.com/prop/view/A1863723099?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42b6a633609.79805539&position=982&kwtype=filter&now_time=1571040106
170平149万 单价8764 老证无税 南北通透户型好楼层,4室2厅,161m²,低层(共18层),2013年建造,9627元/m²,155万,,F、阳光城  黄陂-盘龙城-巨龙大道特8号,https://wuhan.anjuke.com/prop/view/A1848081999?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633665.29020440&position=983&kwtype=filter&now_time=1571040106
送二装及全套家具家电 真正的拎包入住 碧桂园左岸95平三房,3室2厅,95m²,低层(共32层),2016年建造,13684元/m²,130万,,碧桂园生态城左岸  洪山-光谷东-夏芒路28号,https://wuhan.anjuke.com/prop/view/A1862639157?from=filter&spread=commsearch_p&uniqid=pc5da42b6a6336b6.52769310&position=984&kwtype=filter&now_time=1571040106
武汉站 光谷东 联投旁 地铁站 碧桂园97平精装3房 满两年,3室2厅,97m²,高层(共22层),2016年建造,14948元/m²,145万,素质住户安全性高繁华地段,碧桂园生态城依云  洪山-光谷东-花城大道,https://wuhan.anjuke.com/prop/view/A1826636565?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633718.12149133&position=985&kwtype=filter&now_time=1571040106
万科翡翠国际，精装大三室，户型方正，次新房，两证齐全，诚意售,3室2厅,149m²,高层(共46层),2018年建造,29404元/m²,439万,视野好配套成熟品质小区,万科翡翠国际  江汉-唐家墩-长江日报路,https://wuhan.anjuke.com/prop/view/A1834197807?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633760.89288572&position=986&kwtype=filter&now_time=1571040106
万科嘉园 品质开发商 精装修三房 配套成熟 随时看房,3室2厅,87m²,低层(共33层),2017年建造,18382元/m²,160万,安全性高繁华地段品质小区,万科嘉园光谷的光  洪山-珞瑜东路-光谷一路,https://wuhan.anjuke.com/prop/view/A1863211899?from=filter&spread=commsearch_p&uniqid=pc5da42b6a6337c9.90402800&position=987&kwtype=filter&now_time=1571040106
急售急售 创业街 二初对面 精装三房南北通透双阳台 看房方便,3室2厅,139m²,高层(共7层),2009年建造,21289元/m²,298万,近地铁配套成熟环境优美,新世界恒大华府  洪山-珞瑜东路-光谷一路10号,https://wuhan.anjuke.com/prop/view/A1836241131?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633813.37874681&position=988&kwtype=filter&now_time=1571040106
金湖银地铁站银湖鑫城园博园旁，精装两房老拎包入住近园博园小学,2室2厅,81m²,低层(共18层),2012年建造,14198元/m²,115万,南北通透环境优美,开来银湖鑫城  东西湖-金银湖-环湖东路2号,https://wuhan.anjuke.com/prop/view/A1852110147?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633861.43533956&position=989&kwtype=filter&now_time=1571040106
墨水湖公园旁边十里景秀2期电梯毛坯小三房 可看湖,3室2厅,90m²,低层(共45层),2019年建造,11640元/m²,105万,近地铁采光好房型正,十里景秀  汉阳-王家湾-芳草路18号,https://wuhan.anjuke.com/prop/view/A1865737245?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42b6a6338d3.28317283&position=990&kwtype=filter&now_time=1571040106
新澳城市印象，阳逻开发区地铁口，经典两房，采光充足，户型方正,2室1厅,76m²,高层(共31层),2014年建造,7712元/m²,59万,,新澳城市印象  新洲-阳逻开发区-余泊北路,https://wuhan.anjuke.com/prop/view/A1838519769?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633927.88009877&position=991&kwtype=filter&now_time=1571040106
11中陪读房 同馨花园 电梯两房 带阳台 采光好 交通便捷,2室2厅,93m²,低层(共25层),2015年建造,27957元/m²,260万,近地铁繁华地段品质小区,同馨花园2期  硚口-宝丰-解放大道582附15号,https://wuhan.anjuke.com/prop/view/A1825443039?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633971.29170707&position=992&kwtype=filter&now_time=1571040106
汉阳四新永旺旁地铁口金地澜菲溪岸 配套齐全 业主急售价格可谈,3室2厅,87m²,高层(共33层),2018年建造,17065元/m²,150万,安全性高繁华地段品质小区,"金地澜菲溪岸J6地块  汉阳-四新-梅林西路,近芳草五街",https://wuhan.anjuke.com/prop/view/A1845688575?from=filter&spread=commsearch_p&uniqid=pc5da42b6a6339d5.85023772&position=993&kwtype=filter&now_time=1571040106
广电兰亭都荟 精装修朝南小两房 带暖气 老证 业主诚心急售！,2室1厅,55m²,低层(共32层),2015年建造,23370元/m²,129万,配套成熟繁华地段品质小区,广电兰亭都荟  汉阳-钟家村-马鹦路141号,https://wuhan.anjuke.com/prop/view/A1862689197?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633a22.74448381&position=994&kwtype=filter&now_time=1571040106
保利上城 三房 采光好 楼层好 户型好 正地铁口  随时看房,3室2厅,95m²,高层(共34层),2016年建造,15263元/m²,145万,全南户型位置安静品质小区,"保利上城  洪山-白沙洲-白沙洲大道,近江国路",https://wuhan.anjuke.com/prop/view/A1856431479?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633a89.96101537&position=995&kwtype=filter&now_time=1571040106
保利香颂 毛坯两房地铁口 总价低 户型方正 业主诚意出售,2室2厅,76m²,中层(共34层),2017年建造,14737元/m²,112万,近地铁配套成熟品质小区,保利香颂  汉阳-升官渡-四新大道,https://wuhan.anjuke.com/prop/view/A1837473087?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633ad2.71663752&position=996&kwtype=filter&now_time=1571040106
融公馆品质小区 急售超D价格电梯毛坯大三房户型超好临地铁6号,3室2厅,130m²,低层(共18层),2018年建造,19943元/m²,260万,近地铁配套成熟品质小区,融创融公馆  江岸-后湖-罗家嘴路,https://wuhan.anjuke.com/prop/view/A1823092059?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633b25.93995785&position=997&kwtype=filter&now_time=1571040106
地铁站门口的房源来了 小公摊舒适住宅 直接入住,3室2厅,91m²,低层(共7层),2012年建造,10747元/m²,97.8万,主卧朝南南北通透厅带阳台,龙腾仕家  蔡甸-蔡甸城区-蔡甸大街207号,https://wuhan.anjuke.com/prop/view/A1865176329?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633b85.48668315&position=998&kwtype=filter&now_time=1571040106
诚心出售  地铁口  海伦春天对面  精装修大2房 拎包入住,2室2厅,83m²,中层(共18层),2009年建造,15515元/m²,130万,近地铁南北通透,中环湖畔  蔡甸-金色港湾-东风大道48号,https://wuhan.anjuke.com/prop/view/A1843650759?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42b6a633bd5.59953146&position=999&kwtype=filter&now_time=1571040106
保利圆梦城，轻轨口房，*房，金典两房，交通便利，单价低,2室2厅,78m²,高层(共34层),2017年建造,7436元/m²,58万,,保利圆梦城东区  新洲-阳逻开发区-圆梦南路,https://wuhan.anjuke.com/prop/view/A1860804993?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633c20.04648390&position=1000&kwtype=filter&now_time=1571040106
115w！您没看错 仁义社区全明两房业主诚心出售随时看房,2室1厅,51m²,高层(共10层),1998年建造,25294元/m²,129万,近地铁近学校主卧朝南,仁义社区  江岸-永清街-解放大道1332号,https://wuhan.anjuke.com/prop/view/A1864568217?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da42b6a633c84.99815964&position=1001&kwtype=filter&now_time=1571040106
美加湖滨，带装修大三房单价只要1.1万，电梯中间层，产证满二,3室2厅,127m²,低层(共11层),2009年建造,11654元/m²,148万,房型正环境优美品质小区,美加湖滨新城  江夏-庙山-江夏大道49号,https://wuhan.anjuke.com/prop/view/A1864442325?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633ce4.07405913&position=1002&kwtype=filter&now_time=1571040106
南德国际城 老证 精装大两房 机会难得 看房方便,2室2厅,90m²,中层(共32层),2015年建造,12778元/m²,115万,,南德国际城  黄陂-前川-百泰路,https://wuhan.anjuke.com/prop/view/A1823015163?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633d34.21799540&position=1003&kwtype=filter&now_time=1571040106
四新 华发未来荟 3房2厅1卫 精装好房 地铁旁 对口学校,3室2厅,92m²,中层(共34层),2016年建造,17717元/m²,163万,全南户型房型正品质小区,华发未来荟  汉阳-四新-江城大道,https://wuhan.anjuke.com/prop/view/A1866841221?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633d93.76870813&position=1004&kwtype=filter&now_time=1571040106
同安三房两卫 老证满五唯一 家私电全留 看房方便,3室2厅,117m²,高层(共11层),2010年建造,15812元/m²,185万,近地铁配套成熟品质小区,同安家园  江岸-后湖-后湖大道,https://wuhan.anjuke.com/prop/view/A1839687411?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42b6a633de4.62639061&position=1005&kwtype=filter&now_time=1571040106
看清楚标题，现在72万卖！72万卖！机会！随时看房！,1室1厅,51m²,低层(共30层),2006年建造,20588元/m²,105万,近地铁近学校安全性高,兰陵大公馆  江岸-江汉路-胜利街123号,https://wuhan.anjuke.com/prop/view/A1755322869?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da42b6a633e43.72737957&position=1006&kwtype=filter&now_time=1571040106
亿达云山湖精装大三房，一楼带大花园，家电齐全，拎包入住,3室2厅,110m²,低层(共11层),2017年建造,14545元/m²,160万,带花园近地铁品质小区,亿达云山湖  洪山-光谷东-花城北路,https://wuhan.anjuke.com/prop/view/A1868447037?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633ea3.99476865&position=1007&kwtype=filter&now_time=1571040106
新华西美林公馆 2室2厅 随时看房,2室2厅,75m²,高层(共15层),2009年建造,22400元/m²,168万,近地铁繁华地段品质小区,新华西美林公馆  江汉-唐家墩-新华西路100号,https://wuhan.anjuke.com/prop/view/A1816571793?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42b6a633ef1.42346263&position=1008&kwtype=filter&now_time=1571040106
军威苑 就是一个字便宜 有意者尽快联系我 随时看房 看房提前,2室2厅,84m²,低层(共19层),2011年建造,14881元/m²,125万,配套成熟繁华地段品质小区,军威苑小区  洪山-新南湖-长海路,https://wuhan.anjuke.com/prop/view/A1867812483?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633f54.25651481&position=1009&kwtype=filter&now_time=1571040106
汉阳4号线6号线换乘地铁口 总价70万 带装修 湖景小户型,1室1厅,41m²,中层(共30层),2019年建造,17073元/m²,70万,新房房源,"远洋东方境世界观(商住楼)  汉阳-钟家村-归元寺路,近西桥路",https://wuhan.anjuke.com/prop/view/A1818569307?from=filter&spread=commsearch_p&uniqid=pc5da42b6a633fa2.92005340&position=1010&kwtype=filter&now_time=1571040106
光谷东 花山万科紫悦湾 大三房两卫 小高层视野不错,3室2厅,119m²,高层(共30层),2015年建造,15436元/m²,185万,配套成熟环境优美品质小区,万科紫悦湾  洪山-光谷东-花城大道,https://wuhan.anjuke.com/prop/view/A1856332245?from=filter&spread=commsearch_p&uniqid=pc5da42b6a634002.37438942&position=1011&kwtype=filter&now_time=1571040106
水陆小区 地铁口 南北通透两房 中间楼层 诚心出售,2室1厅,63m²,中层(共8层),1998年建造,20116元/m²,128万,近地铁交通便利繁华地段,水陆街社区  武昌-紫阳路-水陆街,https://wuhan.anjuke.com/prop/view/A1856344719?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da42b6a634057.29751739&position=1012&kwtype=filter&now_time=1571040106
远洋心汉口御峰 通透三房 汉口中心区 随时看房,3室2厅,92m²,中层(共47层),2017年建造,18577元/m²,172万,交通便利繁华地段品质小区,远洋心汉口御峰  江汉-汉口火车站-发展大道,https://wuhan.anjuke.com/prop/view/A1751627415?from=filter&spread=commsearch_p&uniqid=pc5da42b6a6340b6.40988035&position=1013&kwtype=filter&now_time=1571040106
"O热推房源O 园林小区,新世界恒大华府,精装两房,满二无税",2室2厅,95m²,高层(共30层),2010年建造,21895元/m²,208万,素质住户安全性高品质小区,新世界恒大华府  洪山-珞瑜东路-光谷一路10号,https://wuhan.anjuke.com/prop/view/A1865006031?from=filter&spread=commsearch_p&uniqid=pc5da42b6a634109.04059535&position=1014&kwtype=filter&now_time=1571040106
